,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
12,369.23923506736753,71.88622608184815,0.40446168768186225,0.556013496960802,1000,,0.001,rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",4,0.39483870967741935,0.5544682571775171,0.39263803680981596,0.561853169469599,0.4036222509702458,0.5514426573991756,0.42135922330097086,0.550949494949495,0.4099157485418017,0.5613539058082236,2.4917115558588105,0.24359886283616333,0.010473055385214718,0.004723265783843101
13,367.1892921924591,70.36618280410767,0.40879405108309086,0.4821703775058853,1000,,0.001,sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",1,0.40096774193548385,0.48281439547108773,0.4045850823377462,0.4891655886157827,0.40588615782664944,0.4789460922977451,0.4184466019417476,0.4804040404040404,0.4141283214517174,0.4795217707407707,1.9613393645351835,0.13395109289732643,0.006466105245535151,0.0037384172391142175
14,398.3811710357666,72.08680353164672,0.37361784675072746,0.38464322104187587,1000,,0.0001,rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",6,0.3664516129032258,0.38568540234532955,0.37358734258960286,0.3896345407503234,0.3777490297542044,0.3801018346399418,0.37411003236245954,0.3814949494949495,0.37621516526247567,0.3862993779788351,3.4018459605997338,0.17254264023154203,0.0038860269483449042,0.0034431983470576072
15,408.1731517314911,70.64511318206787,0.35286129970902036,0.35454288384251464,1000,,0.0001,sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",7,0.3512903225806452,0.35551961180752123,0.35292218275750725,0.3565653298835705,0.3521992238033635,0.3533500363695143,0.3511326860841424,0.35305050505050506,0.35677252106286456,0.35422893610146217,3.651282261927432,0.18250479654012638,0.00205736272577138,0.0013261167552974823
16,360.9296377658844,69.04996905326843,0.40879405108309086,0.4821703775058853,1,,,linear,"{'C': 1, 'kernel': 'linear'}",1,0.40096774193548385,0.48281439547108773,0.4045850823377462,0.4891655886157827,0.40588615782664944,0.4789460922977451,0.4184466019417476,0.4804040404040404,0.4141283214517174,0.4795217707407707,0.7876587711770173,0.33335061003640104,0.006466105245535151,0.0037384172391142175
17,379.1074419975281,69.42013192176819,0.34005819592628517,0.7815712600891073,10,,,linear,"{'C': 10, 'kernel': 'linear'}",74,0.33161290322580644,0.7818843509906995,0.3287051985792703,0.7836351875808538,0.34152652005174644,0.7786308898407823,0.3611650485436893,0.7787474747474747,0.3373298768632534,0.7849583972857258,3.1656973816577065,0.8687740902410047,0.011447190932641746,0.0025475502682152187
18,470.9266237258911,70.63044776916504,0.28412544455221467,0.9180888847025637,100,,,linear,"{'C': 100, 'kernel': 'linear'}",75,0.2793548387096774,0.9162959967650627,0.27219890216338394,0.9188227684346701,0.2855756791720569,0.9177240766184434,0.3,0.9174949494949495,0.28353856124432925,0.920106632199693,13.206327706324988,0.6977207630616162,0.009159036997384176,0.0012891998619253796
19,1059.8534790039062,70.24740595817566,0.2729388942774006,0.9461202433566772,1000,,,linear,"{'C': 1000, 'kernel': 'linear'}",76,0.2661290322580645,0.9467044076021027,0.25766871165644173,0.9459896507115135,0.276843467011643,0.9453649074597915,0.2896440129449838,0.9451313131313132,0.2744653272845107,0.9474109378786655,39.87085521617597,0.36460427235252546,0.010736060828083989,0.0008453058572443068
20,372.57269554138185,67.73098783493042,0.3474296799224054,0.3474297231493747,1,1,0.001,poly,"{'C': 1, 'degree': 1, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,2.1047028821504314,0.12318521502153805,0.00043895346653290753,0.00010976178482193365
21,339.5553379058838,66.31522283554077,0.3474296799224054,0.3474297231493747,1,1,0.0001,poly,"{'C': 1, 'degree': 1, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.5146553199375261,0.2891962087302097,0.00043895346653290753,0.00010976178482193365
22,328.31278591156007,65.73269062042236,0.3474296799224054,0.3474297231493747,1,2,0.001,poly,"{'C': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,0.9634611189787904,0.15670851341347544,0.00043895346653290753,0.00010976178482193365
23,331.56946697235105,65.61820678710937,0.3474296799224054,0.3474297231493747,1,2,0.0001,poly,"{'C': 1, 'degree': 2, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,2.470477116798598,0.19297506551199167,0.00043895346653290753,0.00010976178482193365
24,333.0272738456726,65.79360761642457,0.3474296799224054,0.3474297231493747,1,3,0.001,poly,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.1966435063836853,0.167061591763187,0.00043895346653290753,0.00010976178482193365
25,333.19925718307496,65.90493092536926,0.3474296799224054,0.3474297231493747,1,3,0.0001,poly,"{'C': 1, 'degree': 3, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.7595474248742404,0.22224335398251494,0.00043895346653290753,0.00010976178482193365
26,334.41656703948973,66.19905977249145,0.3474296799224054,0.3474297231493747,1,4,0.001,poly,"{'C': 1, 'degree': 4, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,0.845468774757585,0.22507120739561648,0.00043895346653290753,0.00010976178482193365
27,336.77804651260374,64.55344610214233,0.3474296799224054,0.3474297231493747,1,4,0.0001,poly,"{'C': 1, 'degree': 4, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.0757205303451414,0.24542300474090906,0.00043895346653290753,0.00010976178482193365
28,335.86754713058474,64.67452821731567,0.3474296799224054,0.3474297231493747,1,5,0.001,poly,"{'C': 1, 'degree': 5, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,0.6176691612562111,0.28214423746920847,0.00043895346653290753,0.00010976178482193365
29,337.4723236083984,64.50441474914551,0.3474296799224054,0.3474297231493747,1,5,0.0001,poly,"{'C': 1, 'degree': 5, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.596663741623496,0.15820968623236076,0.00043895346653290753,0.00010976178482193365
30,334.90359983444216,64.35690679550171,0.3474296799224054,0.3474297231493747,1,6,0.001,poly,"{'C': 1, 'degree': 6, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.029122799449094,0.1709473163989648,0.00043895346653290753,0.00010976178482193365
31,332.52869391441345,64.60886445045472,0.3474296799224054,0.3474297231493747,1,6,0.0001,poly,"{'C': 1, 'degree': 6, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.1320768142542281,0.2154249181234666,0.00043895346653290753,0.00010976178482193365
32,331.4179145336151,64.66413879394531,0.3474296799224054,0.3474297231493747,1,7,0.001,poly,"{'C': 1, 'degree': 7, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,0.7506360143190299,0.2258297112276566,0.00043895346653290753,0.00010976178482193365
33,329.65880007743834,64.62468109130859,0.3474296799224054,0.3474297231493747,1,7,0.0001,poly,"{'C': 1, 'degree': 7, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,0.6602074265022483,0.21705920549440225,0.00043895346653290753,0.00010976178482193365
34,424.4340567111969,71.20069160461426,0.3474296799224054,0.3474297231493747,10,1,0.001,poly,"{'C': 10, 'degree': 1, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.4863109977148017,0.1267008651968825,0.00043895346653290753,0.00010976178482193365
35,372.85283637046814,67.895458984375,0.3474296799224054,0.3474297231493747,10,1,0.0001,poly,"{'C': 10, 'degree': 1, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,0.5289740436099397,0.20824104465624788,0.00043895346653290753,0.00010976178482193365
36,331.0376329421997,65.86772723197937,0.3474296799224054,0.3474297231493747,10,2,0.001,poly,"{'C': 10, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.5018866063644505,0.24195170997020482,0.00043895346653290753,0.00010976178482193365
37,331.2225388526916,65.68164281845092,0.3474296799224054,0.3474297231493747,10,2,0.0001,poly,"{'C': 10, 'degree': 2, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,0.6038809075046174,0.17267439937904325,0.00043895346653290753,0.00010976178482193365
38,330.09069476127627,65.73843207359315,0.3474296799224054,0.3474297231493747,10,3,0.001,poly,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.2223917116539538,0.12095680956694156,0.00043895346653290753,0.00010976178482193365
39,330.79980664253236,65.68687305450439,0.3474296799224054,0.3474297231493747,10,3,0.0001,poly,"{'C': 10, 'degree': 3, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.5011776279508207,0.23885709179754783,0.00043895346653290753,0.00010976178482193365
40,332.33698410987853,65.88908419609069,0.3474296799224054,0.3474297231493747,10,4,0.001,poly,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.549445585087033,0.401711092986767,0.00043895346653290753,0.00010976178482193365
41,330.51055998802184,64.71035361289978,0.3474296799224054,0.3474297231493747,10,4,0.0001,poly,"{'C': 10, 'degree': 4, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.2652425901896267,0.1598198114551342,0.00043895346653290753,0.00010976178482193365
42,329.384866809845,64.93990082740784,0.3474296799224054,0.3474297231493747,10,5,0.001,poly,"{'C': 10, 'degree': 5, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.699310411808384,0.1479929784161342,0.00043895346653290753,0.00010976178482193365
43,329.4385229110718,64.61794295310975,0.3474296799224054,0.3474297231493747,10,5,0.0001,poly,"{'C': 10, 'degree': 5, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,0.6789794243467904,0.16516178930919248,0.00043895346653290753,0.00010976178482193365
44,329.0046902179718,64.47941808700561,0.3474296799224054,0.3474297231493747,10,6,0.001,poly,"{'C': 10, 'degree': 6, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.7344809440682305,0.18833121883390327,0.00043895346653290753,0.00010976178482193365
45,326.35707273483274,64.57659406661988,0.3474296799224054,0.3474297231493747,10,6,0.0001,poly,"{'C': 10, 'degree': 6, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.0936470761337358,0.3009580729007019,0.00043895346653290753,0.00010976178482193365
46,326.6362014293671,65.02423396110535,0.3474296799224054,0.3474297231493747,10,7,0.001,poly,"{'C': 10, 'degree': 7, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.4480203153828788,0.35545515781605314,0.00043895346653290753,0.00010976178482193365
47,319.3117308616638,63.342298412323,0.3474296799224054,0.3474297231493747,10,7,0.0001,poly,"{'C': 10, 'degree': 7, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,10.09224997372738,1.4841411442083188,0.00043895346653290753,0.00010976178482193365
48,393.75674095153806,69.657293176651,0.35286129970902036,0.35454288384251464,100,1,0.001,poly,"{'C': 100, 'degree': 1, 'gamma': 0.001, 'kernel': 'poly'}",7,0.3512903225806452,0.35551961180752123,0.35292218275750725,0.3565653298835705,0.3521992238033635,0.3533500363695143,0.3511326860841424,0.35305050505050506,0.35677252106286456,0.35422893610146217,2.8298458318834654,0.4847254207591818,0.00205736272577138,0.0013261167552974823
49,393.9616263866425,68.71072964668274,0.3474296799224054,0.3474297231493747,100,1,0.0001,poly,"{'C': 100, 'degree': 1, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.75366745090974,0.26983556174130974,0.00043895346653290753,0.00010976178482193365
50,313.5719555854797,64.28262090682983,0.3474296799224054,0.3474297231493747,100,2,0.001,poly,"{'C': 100, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,2.022765533811157,0.26391435062713825,0.00043895346653290753,0.00010976178482193365
51,312.31707963943484,64.22744588851928,0.3474296799224054,0.3474297231493747,100,2,0.0001,poly,"{'C': 100, 'degree': 2, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,2.0432989966688075,0.38567257839341196,0.00043895346653290753,0.00010976178482193365
52,307.8355446815491,63.36901559829712,0.3474296799224054,0.3474297231493747,100,3,0.001,poly,"{'C': 100, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,3.320867961231749,0.25802836309450544,0.00043895346653290753,0.00010976178482193365
53,317.2837852478027,64.73358516693115,0.3474296799224054,0.3474297231493747,100,3,0.0001,poly,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,5.6740351139911205,0.6744277498606257,0.00043895346653290753,0.00010976178482193365
54,320.91885137557983,65.26036224365234,0.3474296799224054,0.3474297231493747,100,4,0.001,poly,"{'C': 100, 'degree': 4, 'gamma': 0.001, 'kernel': 'poly'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,0.8826943426969152,0.6811686755227911,0.00043895346653290753,0.00010976178482193365
